,price,price_meter,surface,rooms,floor,max_floors,market,building_type,year_of_construction,lat,lon,rent
102,460000,8812.26,52.2,4,7,10,secondary,tenement house,2018,52.2112358,20.9764535,400
103,675000,9246.58,73,3,3,6,secondary,tenement house,2013,52.2052874,20.9474275,300
104,350000,10802.47,32.4,2,2,4,secondary,tenement house,2019,52.2156401,20.9746239999999,400
105,496000,8000,62,3,10,12,secondary,block of flats,1950,52.201198,20.9734684,330
106,359000,7180,50,2,3,8,secondary,block of flats,1952,52.2012304,20.9733135,507
107,535000,11382.98,47,3,1,4,secondary,block of flats,2008,52.2205254,20.9783655,500
108,279000,7540.54,37,2,3,16,secondary,block of flats,2019,52.2018157,20.979335,350
109,3e+05,7692.31,39,2,2,3,secondary,block of flats,1972,52.1974864,20.9734158,470
110,370000,9250,40,2,1,3,secondary,block of flats,2009,52.1970933,20.9518359,550
111,540000,11020.41,49,2,2,6,secondary,block of flats,2018,52.2112358,20.9764535,600
112,345000,8625,40,2,2,10,secondary,tenement house,1966,52.2138673,20.9687862,503.76
113,790000,10334.9,76.44,3,2,4,secondary,block of flats,1979,52.2189106,20.9976972,200
114,570000,8906.25,64,3,4,8,secondary,detached house,2008,52.2189106,20.9976972,500
115,999000,9990,100,3,1,4,secondary,tenement house,2017,52.2206259,20.9895294,530
116,840000,10000,84,4,4,6,secondary,block of flats,2011,52.202671,20.9508626,300
117,450000,9375,48,2,3,4,secondary,block of flats,1979,52.2111953,20.9627275,600
118,495000,9166.67,54,3,1,7,secondary,block of flats,2008,52.2112358,20.9764535,350
119,460000,7666.67,60,2,2,5,secondary,apartment building,2005,52.2112358,20.9764535,500
120,1350000,12857.14,105,4,2,6,secondary,block of flats,1995,52.2270679,21.0043298,400
121,545000,10480.77,52,2,3,5,secondary,block of flats,1980,52.227967,20.9950058,500
122,730000,14038.46,52,3,3,3,secondary,block of flats,2019,52.2496103,21.0118528,400
123,5e+05,12500,40,2,1,10,secondary,apartment building,2018,52.2366481,21.0063918,520
124,476000,10221.17,46.57,2,3,4,secondary,block of flats,2001,52.2251748,21.0370816,350
